Image,actual_label,predicted_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
L_AC_sp1_Image001.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image002.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image003.tif,Amphiprion clarki,Dactyloptena orientalis,0.7887323943661971,0.6543462493852219,0.5580092418122712,0.4812919960702237,0.702127659574468,0.38011547158365916,0.0
L_AC_sp1_Image004.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image005.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image006.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image007.tif,Amphiprion clarki,Dactyloptena orientalis,0.8087343313275457,0.7204837602301408,0.6443334063904127,0.5720194921992247,0.7472527472527473,0.4106698648943208,0.0
L_AC_sp1_Image008.tif,Amphiprion clarki,Dactyloptena orientalis,0.8260869565217391,0.7057491349142591,0.6064323868693534,0.5221634589284359,0.7472527472527473,0.41370647839971597,0.0
L_AC_sp1_Image009.tif,Amphiprion clarki,Dactyloptena orientalis,0.7941176470588235,0.6622254761118671,0.5569468179141214,0.4801638441109447,0.6813186813186812,0.38150901253553365,0.0
L_AC_sp1_Image010.tif,Amphiprion clarki,Dactyloptena orientalis,0.7941176470588235,0.6711148064277057,0.5759736015133209,0.4984578256957577,0.6813186813186812,0.3845762400776439,0.0
L_AC_sp1_Image011.tif,Amphiprion clarki,Dactyloptena orientalis,0.7794117647058824,0.6471386334370269,0.5484554492088279,0.47466277795313006,0.6593406593406593,0.3593179972716082,0.0
L_AC_sp1_Image012.tif,Amphiprion clarki,Dactyloptena orientalis,0.7941176470588235,0.6622254761118671,0.5639975261268797,0.4906642133263188,0.6813186813186812,0.3877393444197723,0.0
